Date,Open,High,Low,Close,Volume,Adj Close
2014-09-12,12.737,12.745,12.737,12.742,0,12.742
2014-09-15,12.717,12.724,12.717,12.708,0,12.708
2014-09-16,12.704,12.720999999999998,12.704,12.705,0,12.705
2014-09-17,12.71,12.71,12.621,12.709,0,12.709
2014-09-18,12.72,12.72,12.612,12.731,0,12.731
2014-09-19,12.579,14.164,12.579,12.573,0,12.573
2014-09-22,13.015,13.015,13.015,14.205,0,14.205
2014-09-23,13.005999999999998,13.011,13.005999999999998,13.009,0,13.009
2014-09-24,13.050999999999998,13.050999999999998,12.666,13.055,0,13.055
2014-09-25,12.731,12.731,12.715,12.729,0,12.729
2014-09-26,12.679,12.679,12.669,12.678,0,12.678
2014-09-29,12.729,12.729,12.712,12.723,0,12.723
2014-09-30,12.711,12.728,12.71,12.709,0,12.709
2014-10-01,12.675999999999998,12.718,12.675999999999998,12.675,0,12.675
2014-10-02,12.684,12.709,12.679,12.688,0,12.688
2014-10-03,12.687,12.713,12.687,12.709,0,12.709
2014-10-06,12.816,12.816,12.71,12.819,0,12.819
2014-10-07,12.621,12.715,12.621,12.603,0,12.603
2014-10-08,12.642,12.711,12.642,12.636,0,12.636
2014-10-09,12.638,12.709,12.638,12.711,0,12.711
2014-10-10,12.79,12.79,12.715,12.788,0,12.788
2014-10-13,12.743,12.743,12.659,12.754,0,12.754
2014-10-14,12.629,12.66,12.629,12.605,0,12.605
2014-10-15,12.673,12.673,12.657,12.66,0,12.66
2014-10-16,12.488,12.656,12.472,12.484000000000002,0,12.484000000000002
2014-10-17,12.604,12.664,12.599,12.605,0,12.605
2014-10-20,12.729,12.729,12.66,12.664,0,12.664
2014-10-21,12.640999999999998,12.735,12.640999999999998,12.66,0,12.66
2014-10-22,12.777,12.777,12.744000000000002,12.776,0,12.776
2014-10-23,12.809,12.809,12.764,12.744000000000002,0,12.744000000000002
2014-10-24,12.78,12.78,12.764,12.782,0,12.782
2014-10-27,12.725,12.758,12.725,12.746,0,12.746
2014-10-28,12.731,12.731,12.661,12.739,0,12.739
2014-10-29,12.63,12.764,12.628,12.627,0,12.627
2014-10-30,12.872,12.872,12.773,12.862,0,12.862
2014-10-31,12.743,12.765,12.743,12.773,0,12.773
2014-11-03,12.875,12.875,12.85,12.823,0,12.823
2014-11-04,12.759,12.761,12.759,12.852,0,12.852
2014-11-05,12.717,13.421,12.717,12.725,0,12.725
2014-11-06,13.416,13.734000000000002,13.377,13.412,0,13.412
2014-11-07,13.885,13.885,13.767,13.887,0,13.887
2014-11-10,13.696,14.281,13.681,13.695,0,13.695
2014-11-11,14.342,15.597,14.342,14.352,0,14.352
2014-11-12,15.553,15.613,15.553,15.532,0,15.532
2014-11-13,15.64,15.64,15.292,15.643,0,15.643
2014-11-14,15.286,15.287,15.285,15.275,0,15.275
